,State,County,lat,lon,# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays)
112,NY,Essex,44.108971,-73.777573,26,22,56,45,['April'],"['September', 'April']",['September'],"['April', 'July']"
113,NY,Franklin,44.594374,-74.31067,45,44,59,48,['May'],['May'],['May'],['July']
114,NY,Fulton,43.115609,-74.423678,30,26,61,45,['April'],['September'],['September'],['July']
115,NY,Genesee,43.00091,-78.192778,22,23,36,43,['April'],"['September', 'April']",['August'],['April']
116,NY,Greene,42.286951,-74.149495,20,20,33,26,['April'],['September'],['April'],['August']
117,NY,Hamilton,43.657879,-74.502456,28,27,54,52,['April'],['April'],"['April', 'July']",['June']
118,NY,Herkimer,43.461635,-74.894694,29,27,63,45,"['September', 'April']",['April'],"['May', 'July']",['April']
119,NY,Jefferson,43.995371,-76.053522,21,18,25,26,['September'],['April'],['May'],['May']
120,NY,Kings ,40.635133,-73.950777,28,20,39,41,['April'],['April'],"['April', 'May']","['April', 'August']"
121,NY,Lewis,43.786397,-75.442617,22,19,56,40,['September'],['September'],['April'],['July']
122,NY,Livingston,42.727485,-77.76978,22,23,30,30,['April'],['April'],['April'],"['June', 'April']"
123,NY,Madison,42.910026,-75.663575,32,33,34,36,['April'],['April'],"['April', 'July', 'September', 'May']","['July', 'April']"
124,NY,Monroe,43.081408,-77.729899,22,23,26,38,"['September', 'April']",['April'],['June'],"['April', 'July']"
125,NY,Montgomery,42.900891,-74.435358,27,29,27,29,['April'],['April'],['April'],['September']
126,NY,Nassau,40.729687,-73.589384,27,22,43,36,['April'],['April'],['May'],['August']
