,State,County,lat,lon,# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
200,PA,McKean,41.81459,-78.572463,28,28,14,27,['August'],['August'],"['June', 'August', 'April', 'May', 'September', 'March']",['August']
201,PA,Mercer,41.300014,-80.252786,33,33,10,27,"['August', 'May']","['August', 'May']",['September'],['September']
202,PA,Mifflin,40.61189,-77.620661,28,28,10,22,['September'],['September'],['August'],['August']
203,PA,Monroe,41.056233,-75.329037,16,16,10,23,['May'],['May'],['May'],"['June', 'May']"
204,PA,Montgomery,40.209999,-75.370201,19,19,7,17,['September'],['September'],"['August', 'September']",['July']
205,PA,Montour,41.029261,-76.665259,27,27,12,23,['September'],['September'],['August'],"['June', 'July']"
206,PA,Northampton,40.752791,-75.307447,19,19,8,21,"['August', 'March', 'September']","['August', 'March', 'September']","['June', 'May']",['June']
207,PA,Northumberland,40.851524,-76.709877,25,25,10,23,['September'],['September'],"['August', 'May', 'March', 'September']","['April', 'May']"
208,PA,Perry,40.39778,-77.266328,22,22,14,27,['September'],['September'],['September'],['June']
209,PA,Philadelphia,40.009376,-75.133346,22,22,10,24,['May'],['May'],['May'],['July']
210,PA,Pike,41.325949,-75.031514,23,23,13,23,['July'],['July'],['July'],"['June', 'July', 'May']"
211,PA,Potter,41.748222,-77.894735,28,28,14,19,['September'],['September'],['October'],['September']
212,PA,Schuylkill,40.70369,-76.2178,14,14,9,20,['July'],['July'],['August'],"['May', 'June']"
213,PA,Snyder,40.755348,-77.072954,25,25,14,26,"['June', 'September']","['June', 'September']",['September'],"['August', 'June']"
214,PA,Somerset,39.981297,-79.028486,27,27,14,20,['July'],['July'],['May'],['September']
215,PA,Sullivan,41.43979,-76.511525,28,28,8,21,['September'],['September'],"['June', 'May']",['September']
216,PA,Susquehanna,41.819665,-75.800969,26,26,11,27,['September'],['September'],['April'],"['April', 'September', 'June']"
217,PA,Tioga,41.766859,-77.257288,26,26,12,25,"['March', 'September']","['March', 'September']",['April'],['May']
218,PA,Union,40.962179,-77.055475,28,28,13,30,['September'],['September'],"['August', 'May']","['June', 'August']"
219,PA,Venango,41.40198,-79.754418,32,32,12,24,['September'],['September'],['September'],['August']
220,PA,Warren,41.843669,-79.313173,33,33,6,21,"['March', 'September']","['March', 'September']","['September', 'May']",['September']
221,PA,Washington,40.200005,-80.252132,34,34,9,23,['September'],['September'],['September'],['July']
222,PA,Wayne,41.646589,-75.292485,17,17,10,22,['May'],['May'],['May'],"['June', 'April', 'July', 'May']"
223,PA,Westmoreland,40.311068,-79.466688,31,31,12,22,['September'],['September'],['September'],"['July', 'June']"
224,PA,Wyoming,41.525137,-76.00878,22,22,11,18,['May'],['May'],"['July', 'April', 'September', 'June', 'May']","['April', 'May']"
225,PA,York,39.921839,-76.728446,23,23,14,27,['August'],['August'],"['September', 'May']","['June', 'May']"
226,RI,Bristol ,41.705271,-71.285053,22,22,11,21,"['July', 'September']","['July', 'September']","['June', 'March', 'August']",['September']
227,RI,Kent ,41.67775,-71.576314,25,25,11,21,['June'],['June'],"['May', 'September']","['June', 'April', 'September']"
228,RI,Newport ,41.502732,-71.284063,23,23,10,20,['June'],['June'],"['June', 'March']",['June']
229,RI,Providence ,41.870488,-71.578242,24,24,13,24,['June'],['June'],"['July', 'May']",['June']
230,RI,Washington ,41.401162,-71.617612,21,21,15,22,"['July', 'August']","['July', 'August']","['May', 'August']",['June']
231,VT,Addison,44.031248,-73.141581,24,24,8,21,['May'],['May'],['March'],['May']
232,VT,Bennington,43.035325,-73.11146,29,29,14,28,['June'],['June'],['September'],['September']
233,VT,Caledonia,44.468791,-72.112168,24,24,12,25,['September'],['September'],['March'],['May']
234,VT,Chittenden,44.460676,-73.070525,24,24,12,22,['July'],['July'],['March'],['August']
